movieID,movieTitle,genres,directorName,description,duration,actor_1_name,actor_2_name,actor_3_name,country,classificationRating,yearReleased,rantings,trailerLink,moviePicName,availability
Dune2021,Dune,Action,Denis Villeneuve,A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.,155,Timothee Chalamet,Rebecca Ferguson,Zendaya,USA,PG-13,2021,8,https://www.youtube.com/watch?v=n9xhJrPXop4,Dune2021.png,0
EdenLodge2015,Eden Lodge,Horror,Andreas Prodromou,"A young family are stranded at the Eden Lodge. The people they meet are being killed one by one. They must fight to save their marriage, their family, and most of all their lives.",80,Aggy K. Adams.,Georgina Blackledge,Cyd Casados,United Kingdom,R-21,2015,3.4,https://www.youtube.com/watch?v=yWZg3y94F3E,EdenLodge2015.png,0
EDtv1999,EDtv,Comedy,Ron Howard,"Ed, a video store clerk, is invited for a television show that showcases the life of normal people and his life changes when Cynthia, the show's producer, decides to film the entire show on his life.",124,Matthew McConaughey,Woody Harrelson,Jenna Elfman,USA,PG-13,1999,5.7,https://www.youtube.com/watch?v=V5ZJtWn8zBY,EDtv1999.png,0
Elvis2022,Elvis,Musical,Baz Luhrmann,"Whilst on a mission to transform the mainstream rock and roll culture of the USA, singer Elvis Presley uses his fame to highlight racism within the country.",159,Austin Butler,Tom Hanks,Olivia DeJonge,Australia,PG-13,2022,7.3,https://www.youtube.com/watch?v=KIsojttVj4o,Elvis2022.png,0
EndlessLove2014,Endless Love,Romance,Shana Feste,"Jade Butterfield is a reclusive young girl who does not socialise much. However, a chance meeting with a former classmate, David, sparks an intimate relationship that alters the course of her life.",105,Alex Pettyfer,Gabriella Wilde,Bruce Greenwood,USA,PG-13,2014,6.3,https://www.youtube.com/watch?v=NTAzn4W48gc,EndlessLove2014.png,0
EscapePlan2013,Escape Plan,Action,Mikael Håfström,"Ray, an expert in security systems, is framed for a crime and sent to a high-tech prison. However, he uses all his knowledge and special skills with a little inside help to escape the facility.",115,Sylvester Stallone,Arnold Schwarzenegger,Jim Caviezel,USA,NC-16,2013,6.7,https://www.youtube.com/watch?v=CI4EjV_x_PQ,EscapePlan2013.png,0
Fireworks2017,Fireworks,Romance,Nobuyuki Takeuchi,"Norimichi and Yusuke are both infatuated with their classmate Nazuna. But when Nazuna decides to run away from home, it's Norimichi she asks to join her. After their plans go awry, Norimichi discovers a magical ball that has the power to manipulate time and give them a second chance, but each reset brings new complications.",90,Suzu Hirose,Masaki Suda,Mamoru Miyano,Japan,PG,2017,5.5,https://www.youtube.com/watch?v=KG770hOuT2k,Fireworks2017.png,0
Frailty2001,Frailty,Thriller,Bill Paxton,"One day, a widowed blue-collar worker has a revelation: he must destroy those revealed to him as demons. He then begins the serial killings of `God's Hand Killer' across Texas, but he also has two young sons, the younger of whom idolises him and believes in the cause, while his older brother is revolted but cannot bring himself to stop his father. Twenty years later, the elder son walks into a police station and confesses.",99,Bill Paxton,Matthew,Powers Boothe,USA,NC-16,2001,7.2,https://www.youtube.com/watch?v=mW6TlPMHXgk,Frailty2001.png,0
FullRiverRed2023,Full River Red,Comedy,Yi-Mou Zhang,"In 12th-century China, an ambassador is killed and a letter meant for the emperor is stolen. As the search for the letter unfolds, alliances are formed, secrets are revealed, and no one can stop the truth that's destined to leave its mark on history.",157,Shen Teng,Jackson Yee,Lei Jiayin,China,NC-16,2023,6.6,https://www.youtube.com/watch?v=Ju3iH89GeUI,FullRiverRed2023.png,0
GetShorty1995,Get Shorty,Crime,Barry Sonnenfeld,Gangster Chili Palmer travels to Los Angeles and takes on a job offered to him by a movie producer to collect debts. Soon he finds out that his current job is not less than mobbing people.,105,John Travolta,Gene Hackman,Rene Russo,USA,PG-13,1995,7.1,https://www.youtube.com/watch?v=yNLaTtpovys,GetShorty1995.png,0
GlassOnion2022,Glass Onion,Crime,Rian Johnson,"Tech billionaire Miles Bron invites his friends for a getaway on his private Greek island. When someone turns up dead, Detective Benoit Blanc is put on the case.",139,Daniel Craig,Edward Norton,Kate Hudson,USA,PG-13,2022,7.2,https://www.youtube.com/watch?v=gj5ibYSz8C0,GlassOnion2022.png,0
GosfordPark2002,Gosford Park,Mystery,Robert Altman,"Sir William McCordle and his family plan a shooting party over a weekend. Their family secrets, lies and deceptions come tumbling out when Sir William gets murdered.",137,Eileen Atkins,Bob Balaban,Alan Bates,United Kingdom,PG-13,2002,7.2,https://www.youtube.com/watch?v=nqXMOuxstdI,GosfordPark2002.png,0
HerBlueSky2019,Her Blue Sky,Animation,Tatsuyuki Nagai,"When their parents died, Akane remained in her hometown to take care of her little sister, Aoi. Years later, Akane's ex-boyfriend, Shinnosuke, returns to town to perform at a music festival. At the same time as the re-encounter between the two former lovers, Aoi meets Shinnosuke's teenage self, who has traveled through time, and she falls head over heels for him. The team from the moving The Anthem of the Heart returns with a surprising story full of romance and youthful longings.",106,Shion Wakayama,Riho Yoshioka,Ryo Yoshizawa,Japan,PG,2019,7.5,https://www.youtube.com/watch?v=YGzSrGnIm5M,HerBlueSky2019.png,0
Highway2014,Highway,Romance,Imtiaz Ali,"Veera, a young bride-to-be, is abducted by a local gangster, Mahabir, and his men a day prior to her wedding. Far from being terrified of her abductor, Veera discovers a new meaning to her life.",133,Alia Bhatt,Randeep Hooda,Durgesh Kumar,India,PG-13,2014,7.6,https://www.youtube.com/watch?v=LSrDD52bx4A,Highway2014.png,0
IdleHands1999,Idle Hands,Horror,Rodman Flender,A teenaged slacker finds his parents turned into headless Halloween decorations and realises that his right hand has a blood-thirsty mind of its own that wreaks havoc.,92,Devin Sawa,Seth,Elden Henson,USA,PG-13,1999,6.2,https://www.youtube.com/watch?v=HcVrp--9UUc,IdleHands1999.png,0
Inkheart2008,Inkheart,Fantasy,Iain Softley,"Mo, who can bring book characters to life, accidentally sets free the evil Capricorn. Ten years later, his daughter Meggie, her aunt and the book's hero set out to help her father trap the villain.",106,Brendan Fraser,Paul Bettany,Helen Mirren,United Kingdom,PG,2008,6.1,https://www.youtube.com/watch?v=7UvKccFUC2I,Inkheart2008.png,0
Kite2014,Kite,Thriller,Ralph Ziman,"When her parents are brutally murdered by unknown assailants, Sawa, a young girl, teams up with her father's ex-partner and scours the nefarious human trafficking world to find the murderers.",90,India Eisley,Callan McAuliffe,Samual L. Jackson,South Africa,R-21,2014,4.4,https://www.youtube.com/watch?v=l0l7uphJ-Wg,Kite2014.png,0
KungFuYoga2017,Kung Fu Yoga,Action,Stanley Tong,"When Jack, an archaeology professor, teams up with an Indian professor to discover India's lost treasure, they are ambushed. Jack uses his kung fu knowledge to flee and locate the treasure.",108,Jackie Chan,Lay Zhang,Aarif Rahman,China,PG-13,2017,7.1,https://www.youtube.com/watch?v=DkPluechlNY,KungFuYoga2017.png,0
LegendsofOz:Dorothy'sReturn2014,Legends of Oz: Dorothy's Return,Adventure,Will Finn,Legends of Oz: Dorothy's Return is a 2013 computer-animated musical fantasy film that is loosely based on the 1989 book Dorothy of Oz by L. Frank Baum's great-grandson Roger Stanton Baum. ,88,Lea Michele,Patrick Stewart,Jim Belushi,USA,PG,2014,5,https://www.youtube.com/watch?v=HN7xNSNsWGA,LegendsofOz-Dorothy'sReturn2014.png,0
LetterstoGod2010,Letters to God,Drama,David Nixon,A young boy who has cancer decides to write letters to God to help him through the situation. A postman picks up the first letter and is clueless about what to do with it.,110,Robyn Lively,Jeffrey S.S. Johnson,Maree Cheatham,USA,PG-13,2010,6.1,https://www.youtube.com/watch?v=RlKf6eL4RSg,LetterstoGod2010.png,0
LightfromtheDarkroom2014,Light from the Darkroom,Action,Lance McDaniel,Light in the Darkroom is the story of two best friends whose faith is tested when their friends disappear during a religious pilgrimage.,110,Lymari Nadal,Patricia De Leon,Steven Michael Quezada,USA,PG-13,2014,6.8,https://www.youtube.com/watch?v=kcMcY2tRXas,LightfromtheDarkroom2014.png,0
LordsofLondon2014,Lords of London,Mystery,Antonio Simoncini,"Tony Lord, a gangster, is transported back to his childhood days where he is forced to confront his father's misdeeds in order to make his own life free of crime and abuse.",90,Glen Murphy,Ray Winstone,Serena Iansiti,USA,PG-13,2014,3.2,https://www.youtube.com/watch?v=W8U2pP7c-Cg,LordsofLondon2014.png,0
LosmenMelati2023,Losmen Melati,Horror,Billy Christian,"Travelers looking for lodging. They then found the Melati Inn and became guests there. Until one day they realized that if they were in there, they would never get out again.",98,Alexandra Gottardo, Kiki Narendra,Fandy Christian,Indonesia,NC-16,2023,7.9,https://www.youtube.com/watch?v=nkdrMavzKaM,LosmenMelati2023.png,0
Lupinthe3rdvs.Cat'sEye2023,Lupin the 3rd vs. Cat's Eye,Animation,Yuji Ohno,"The Cat's Eye sisters are again aiming to steal the three paintings that once belonged to their father. Only this time, Lupin III is also after the same trio of paintings. The paintings in question will also reveal a long-buried mystery.",92,Kan'ichi Kurita,Keiko Toda,Akio Ôtsuka,Japan,PG-13,2023,6.1,https://www.youtube.com/watch?v=1IioBvbiarE,Lupinthe3rdvs.Cat'sEye2023.png,0
Maggie2015,Maggie,Horror,Henry Hobson,"A man takes extreme steps to protect Maggie, his daughter, who is slowly turning into a cannibal after a zombie attack. He spends time with her, reminiscing about her childhood, dreading the future.",95,Arnold Schwarzenegger,Abigail Breslin,Joely Richardson,USA,PG-13,2015,5.6,https://www.youtube.com/watch?v=AQ5Vz8qE8R8,Maggie2015.png,0
MasterandCommander:TheFarSideoftheWorld2003,Master and Commander: The Far Side of the World,Adventure,Peter Weir,"Captain Jack Aubrey orders his team to set out in search of a French war vessel. However, when his own ship is heavily damaged, he realises the task is not as easy as it seems.",138,Russell Crowe,Paul Bettany,Max Pirkis,USA,PG,2003,7.4,https://www.youtube.com/watch?v=tHTHCNYiiHk,MasterandCommander-TheFarSideoftheWorld2003.png,0
Mirai2018,Mirai,Adventure,Mamoru Hosoda,"A young boy named Kun feels forgotten by his family when his little sister Mirai arrives. Running away from home, Kun stumbles upon a magical garden that serves as a time-travelling gateway where he encounters his mother as a little girl and has a series of adventures with his baby sister, who is all grown up, opening a new perspective on his world.",98,Moka Kamishiraishi,Haru Kuroki,Gen Hoshino,Japan,PG,2018,7,https://www.youtube.com/watch?v=6d-lsJZgmJs,Mirai2018.png,0
MissPotter2006,Miss Potter,Romance,Chris Noonan,Beatrix Potter writes stories since she was a child but never got any recognition. Her life changes when a publisher decides to compile and publish her stories.,92,Renée Zellweger,Ewan McGregor,Emily Watson,United Kingdom,PG-13,2006,7,https://www.youtube.com/watch?v=BMDDdMprkY4,MissPotter2006.png,0
Mission:Impossible-RogueNation2015,Mission: Impossible - Rogue Nation,Action,Christopher McQuarrie,"With the IMF disbanded and the CIA hunting him, Ethan and his team race against time to prove the existence of the Syndicate, a highly-skilled terror organisation, before they plan their next attack.",132,Tom Cruise,Rebecca Ferguson,Simon Pegg,USA,PG-13,2015,7.4,https://www.youtube.com/watch?v=pXwaKB7YOjw,Mission-Impossible-RogueNation2015.png,0
Moonman2022,Moon man,Sci-Fi,Chiyu Zhang,"After being left unexpectedly on the moon, an asteroid destroys the earth, leaving Duguyue being the last person in existence.",122,Shen Teng,Ma Li,Chang Yuan,China,PG-13,2022,8.2,https://www.youtube.com/watch?v=254pTHplAa0,Moonman2022.png,0
MozartfromSpace2022,Mozart from Space,Fantasy,Chen Sicheng,"A young boy takes a keen interest in astronomy, but his father wants him to play piano. One day, a mysterious alien arrives and helps the boy overcome his differences with his father.",136,Huang Bo,Rong Zishan,Fan Tiantian,China,PG-13,2022,7.8,https://www.youtube.com/watch?v=nl4Pxrqyw7U,MozartfromSpace2022.png,0
Mr.Peabody&Sherman2014,Mr. Peabody & Sherman,Adventure,Rob Minkoff,"A talking dog, Mr Peabody, embarks on a life dedicated to science, technology and athletics after being rejected by a potential owner. He adopts a son, Sherman.",92,Max Charles,Ty Burrell,Ariel Winter,USA,PG,2014,6.8,https://www.youtube.com/watch?v=hy6oD7BZw50,Mr.Peabody&Sherman2014.png,0
N-Secure2010,N-Secure,Drama,David M. Matthews,This film sheds light on a man's downfall from the pinnacles of success into the depths of his damaged character. His insecurities lead him into a series of troubled romantic relationships and eventually a web of events that include betrayal and murder.,116,Essence Atkins,Cordel Moore,Denise Boutte,USA,PG-13,2010,3.7,https://www.youtube.com/watch?v=6wJrbsC8IgQ,N-Secure2010.png,0
Neal'N'Nikki2005,Neal 'N' Nikki,Comedy,Arjun Sablok,"During a 21-day bachelor trip before his wedding, Neal falls in love with Nikki, a woman he slept with. Things get further complicated when Nikki turns out to be his fiancee's cousin.",124,Uday Chopra,Tanishaa Mukerji,Richa Pallod,India,R-21,2005,3.3,https://www.youtube.com/watch?v=6gp7MfbCTDU,Neal'N'Nikki2005.png,0
Pearl2022,Pearl,Horror,Ti West,"Trapped on her family's isolated farm, Pearl must tend to her ailing father under the bitter and overbearing watch of her devout mother. Lusting for a glamorous life like she's seen in the movies, Pearl finds her ambitions, temptations, and repressions all colliding in this origin story of X's iconic villain.",103,Mia Goth,David Corenswet,Tandi Wright,USA,R-21,2022,7,https://www.youtube.com/watch?v=L5PW5r3pEOg,Pearl2022.png,0
PoundofFlesh2015,Pound of Flesh,Action,Ernie Barbarash,A former black-ops agent (Jean-Claude Van Damme) begins a blood-soaked quest to find the organ thieves who stole his kidney before he could donate it to his dying niece.,104,Jean-Claude Van Damme,John Ralson,Charlotte Peters,Canada,NC-16,2015,5.1,https://www.youtube.com/watch?v=RpTrypbMr-Q,PoundofFlesh2015.png,0
RebaMcEntire'sTheHammer2023,Reba McEntire's The Hammer,Crime,Jeff Beesley,"Kim Wheeler, an attorney who is appointed as a judge for Nevada's 5th district after the former judge's death. As the investigation into the death intensifies, Kim's sister, who runs the local brothel, becomes the prime suspect.",85,Rebe McEntire,Melissa Peterman,Rex Linn,USA,NC-16,2023,7.1,https://www.youtube.com/watch?v=jP7MudaCsx0,RebaMcEntire'sTheHammer2023.png,0
ReservoirDogs1992,Reservoir Dogs,Crime,Quentin Tarantino,"Six criminals, hired to steal diamonds, do not know each other's true identity. While attempting the heist, the police ambushes them, leading them to believe that one of them is an undercover officer.",99,Harvey Keitel,Tim Roth,Chris Penn,USA,PG-13,1992,8.3,https://www.youtube.com/watch?v=GLPJSmUHZvU,ReservoirDogs1992.png,0
RideOn2023,Ride On,Adventure,Larry Yang,"Washed-up stuntman Luo can barely make ends meet, let alone take care of his beloved stunt horse, Red Hare. Luo reluctantly seeks help from his estranged daughter and her lawyer boyfriend when notified the horse may be auctioned off to pay his debts. Luo and Red Hare become an overnight media sensation when their fight with debt collectors goes viral.",126,Jackie Chan,Liu Haocun,Guo Qilin,China,PG-13,2023,8.6,https://www.youtube.com/watch?v=k5aVcHpl_Xw,RideOn2023.png,0
Roadside2013,Roadside,Horror,Eric England,"Dan and his pregnant wife are on a road trip. Along a deserted road, they stop due to a fallen tree. Soon, they are held hostage by a gunman and must fight for their lives.",90,Eric England,Ace Marrero,Katie Stegeman,USA,NC-16,2013,3.8,https://www.youtube.com/watch?v=HpddoSak0AQ,Roadside2013.png,0
Roar2014,Roar,Thriller,Kamal Sadanah,"A commando team enters the jungle to track down a white tigress after she kills a man. They do not realize how smart the tigress is, and soon the hunters become the hunted.",123,Aaran Chaudhary,Nora Fatehi,Himarsha Venkatsamy,India,PG,2014,5.5,https://www.youtube.com/watch?v=cny_D50Rr44,Roar2014.png,0
Sakra2023,Sakra ,Adventure,Donnie Yen,"Accused of murder, a martial artist goes on the run in search of answers about his own mysterious origins and the unknown enemies out to destroy him.",130,Sheng Lingzhi,Zhu Wei,He Ben,China,NC-16,2023,5.9,https://www.youtube.com/watch?v=ecpoT3OE3y8,Sakra2023.png,0
Saw2004,Saw,Horror,James Wan,"The film tells a nonlinear narrative, revolving around the mystery of the Jigsaw Killer, who tests his victims' will to live by putting them through deadly ""games"" where they must inflict great physical pain upon themselves to survive. The frame story follows Jigsaw's latest victims (Whannell and Elwes), who awaken in a large, dilapidated bathroom, with one being ordered to kill the other to save his own family.",103,Cary Elwes,Danny Glover,Monica Potter,USA,NC-16,2004,6.1,https://www.youtube.com/watch?v=S-1QgOMQ-ls,Saw2004.png,0
Scream2022,Scream,Horror,Matt Bettinelli-Olpin,"Twenty-five years after a streak of brutal murders shocked the quiet town of Woodsboro, Calif., a new killer dons the Ghostface mask and begins targeting a group of teenagers to resurrect secrets from the town's deadly past.",94,Courteney Cox,Melissa Barrera,Jenna Ortega,USA,M-18,2022,6.3,https://www.youtube.com/watch?v=beToTslH17s,Scream2022.png,1
ScreamVI2023,Scream VI,Horror,Matt Bettinelli-Olpin,"In the next installment, the survivors of the Ghostface killings leave Woodsboro behind and start a fresh chapter in New York City.",122,Courteney Cox,Melissa Barrera,Jenna Ortega,USA,M-18,2023,7.1,https://www.youtube.com/watch?v=h74AXqw4Opc,ScreamVI2023.png,0
Senior2015,Senior,Horror,Wisit Sasanatieng,A student who can smell ghosts work together with a dead senior classmate to investigate a murder from 50 years ago.,104,Jannine Weigel,Phongsakon Tosuwan,Sa-ad Piampongsan,Thailand,PG-13,2015,7.8,https://www.youtube.com/watch?v=zni_QolQV0k,Senior2015.png,0
Serenity2019,Serenity,Thriller,Steven Knight,"Baker Dill is a fishing boat captain who leads tours off of the tranquil enclave of Plymouth Island. His peaceful life is soon shattered when his ex-wife Karen tracks him down. Desperate for help, Karen begs Baker to save her -- and their young son -- from her abusive husband. She wants him to take the brute out for a fishing excursion -- then throw him overboard to the sharks. Thrust back into a life that he wanted to forget, Baker now finds himself struggling to choose between right and wrong.",106,Matthew McConaughey,Anne Hathaway,Diane Lane,USA,M-18,2019,5.4,https://www.youtube.com/watch?v=k3zMlsEK8xA,Serenity2019.png,0
ShallWeDance2004,Shall We Dance,Romance,Peter Chelsom,"John, a bored and overworked estate lawyer, sees a beautiful woman standing at the window of a dance studio on a daily basis. He signs up for ballroom dancing lessons with hopes of meeting her.",106,Richard Gere,Jennifer Lopez,Susan Sarandon,USA,PG,2004,6.2,https://www.youtube.com/watch?v=y-A64ctS2Cc,ShallWeDance2004.png,0
ShortCuttoNirvana:KumbhMela2004,Short Cut to Nirvana: Kumbh Mela,Biography,Nick Day,"Every 12 years over 70 million pilgrims gather at the meeting of India's holiest rivers, the Ganges and the Yamuna, for a spectacular spiritual festival: the Kumbh Mela. This documentary takes a voyage of discovery through this colorful event through the eyes of several Westerners and an ebullient young Hindu monk, Swami Krishnanand. Featuring encounters with some of India's most respected holy men and exclusive footage of His Holiness the Dalai Lama.",85,Jasper Johal,Justin Davis,Swami Krishnanad,USA,PG-13,2004,7,https://www.youtube.com/watch?v=_eeZUJliReQ,ShortCuttoNirvana-KumbhMela2004.png,0
Sing22021,Sing 2,Animation,Garth Jennings,Buster Moon and his friends must persuade reclusive rock star Clay Calloway to join them for the opening of a new show.,110,Matthew McConaughey,Scarlett Johansson,Tori Kelly,USA,PG,2021,7.4,https://www.youtube.com/watch?v=EPZu5MA2uqI,Sing22021.png,0
Sister2021,Sister,Family,Ruoxin Yin,A girl who has lost her parents is facing the issue of pursuing an independent life or raising her younger brother.,127,Zhang Zifeng,Xiao Yang,Zhu Yuanyuan,China,PG-13,2021,8,https://www.youtube.com/watch?v=COLOJaM3k_M,Sister2021.png,0
Slumberland2022,Slumberland,Fantasy,Francis Lawrence,"A young girl discovers a secret map to the dreamworld of Slumberland, and with the help of an eccentric outlaw, she traverses dreams and flees nightmares, with the hope that she will be able to see her late father again.",117,Jason Momoa,Chris O'Dowd,Chris O'Dowd,USA,PG,2022,6.7,https://www.youtube.com/watch?v=FBnkVJslRGo,Slumberland2022.png,0
SoundofMyVoice2011,Sound of My Voice,Drama,Zal Batmanglij,"California couple Peter (Christopher Denham) and Lorna (Nicole Vicius) set out to make a documentary meant to expose a charismatic cult leader named Maggie (Brit Marling) as a fraud. Maggie claims to be from the year 2054 and is seemingly allergic to almost everything in her environment; she lives in a basement, subsisting on canned oxygen, homegrown food and the blood of her acolytes. Though at first, Peter and Lorna are adamant that Maggie is a fake, they both soon fall under her spell.",85,Christopher Denham,Nicole Vicius,Brit Marling,USA,PG-13,2011,6.6,https://www.youtube.com/watch?v=r0eEDovkvIs,SoundofMyVoice2011.png,0
Spider-Man:NoWayHome2021,Spider-Man: No Way Home,Action,Jon Watts,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.",148,Tom Holland,Zendaya,Benedict Cumberbatch,USA,PG-13,2021,8.2,https://www.youtube.com/watch?v=JfVOs4VSpmA,Spider-Man-NoWayHome2021.png,0
SpiritUntamed2021,Spirit Untamed,Adventure,Elaine Bogan,"After moving to a sleepy little town, young Lucky Prescott befriends a wild mustang named Spirit, who shares her rebellious spirit. When a heartless wrangler plans to capture Spirit and his herd, Lucky and her new friends embark on the adventure of a lifetime to rescue the horse that forever changed her life.",85,Isabela Merced,Marsai Martin,Mckenna Grace,USA,PG,2021,5.5,https://www.youtube.com/watch?v=9jG1nnQGpdI,SpiritUntamed2021.png,0
StateofPlay2009,State of Play,Thriller,Kevin Macdonald,"When a US Congressman's aide gets killed, a team of reporters joins forces with the police to investigate the case. As they delve deep into the mystery, the politician's dark secrets come pouring out.",128,Russell Crowe,Ben Affleck,Rachel McAdams,United Kingdom,PG,2009,7.1,https://www.youtube.com/watch?v=s1Sp1QvyQQI,StateofPlay2009.png,0
StepBrothers2008,Step Brothers,Comedy,Adam McKay,"Brennan and Dale, two middle-aged men who still live with their parents, are forced to stay under the same roof together when Brennan's mother marries Dale's father.",98,Will Ferrell,Richard Jenkins,John C. Reilly,USA,M-18,2008,6.9,https://www.youtube.com/watch?v=8QKE96wZTkw,StepBrothers2008.png,0
StepUp:YearOfTheDance2019,Step Up: Year Of The Dance,Musical,Ron Yuan,Step Up: Year of the Dance explodes onto the streets and stages of Beijing with super-talented young performers and dazzling dance sequences as a group of feisty street dancers join forces for a battle royal to determine the world's best dance crew.,100,Jade Chynoweth,Sean Lew,Meiqi Meng,China,PG-13,2019,3.7,https://www.youtube.com/watch?v=jRlVV38txiQ,StepUp-YearOfTheDance2019.png,0
SuperSizeMe2004,Super Size Me,Documentary,Morgan Spurlock,"Director Morgan Spurlock's social experiment in fast-food gastronomy sees him attempting to subsist uniquely on food from the McDonald's menu for an entire month. In the process his weight balloons, his energy level plummets and he experiences all sorts of unexpected -- and terrifying -- side effects. He also examines the corporate giant's growing role in the lives of American consumers and explores its methods of indoctrinating young people and its contribution to America's obesity epidemic.",98,Morgan Spurlock,Alexandra Jamieson,,USA,PG-13,2004,7.2,https://www.youtube.com/watch?v=oAjsBZEOnVw,SuperSizeMe2004.png,0
Suzume2023,Suzume,Animation,Makoto Shinkai,"As the skies turn red and the planet trembles, Japan stands on the brink of disaster. However, a determined teenager named Suzume sets out on a mission to save her country. Able to see supernatural forces that others cannot, it's up to her to close the mysterious doors that are spreading chaos across the land. A perilous journey awaits as the fate of Japan rests on her shoulders.",122,Nanoka Hara,Hokuto Matsumura,Eri Fukatsu,Japan,PG,2023,7.7,https://www.youtube.com/watch?v=5pTcio2hTSw,Suzume2023.png,0
TearsoftheSun2003,Tears of the Sun,Action,Antonie Fuqua,"Lt A K Waters and his troop are tasked to rescue Dr Lena from the jungles of a conflict-ridden Nigeria. However, she refuses to go with them unless they rescue her patients too.",121,Bruce Willis,Cole Hauser,Monica Bellucci,USA,PG-13,2003,6.6,https://www.youtube.com/watch?v=INW4f3yyeZg,TearsoftheSun2003.png,0
